mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__k_neighbors,param_smote__sampling_strategy,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26454663276672363,0.004991058001740727,0.0006076812744140625,2.0065384672473855e-05,3,0.3,gini,5,4,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 4, 'tree__min_samples_split': 6}",,,,,,,,1
0.26458916664123533,0.008448292335245968,0.000628519058227539,3.2964039344264586e-05,3,0.3,gini,5,5,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 4}",,,,,,,,1
0.26450037956237793,0.0032566620008105973,0.0006257057189941406,3.6269915619765236e-05,3,0.3,gini,5,5,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 5}",,,,,,,,1
0.26634488105773924,0.003257944275976122,0.000640249252319336,5.1215862527504935e-05,3,0.3,gini,5,5,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 6}",,,,,,,,1
0.27546167373657227,0.004659158214031608,0.0006451606750488281,2.930706500123834e-05,3,0.3,gini,5,6,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 4}",,,,,,,,1
0.2773172855377197,0.0059548657997586015,0.0006442546844482421,1.8623772428488377e-05,3,0.3,gini,5,6,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 5}",,,,,,,,1
0.2772514343261719,0.008070142218712762,0.0006413459777832031,1.4934978259435487e-05,3,0.3,gini,5,6,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 5, 'tree__min_samples_leaf': 6, 'tree__min_samples_split': 6}",,,,,,,,1
0.3002206802368164,0.005954858053219414,0.0006664752960205078,2.0785724984474606e-05,3,0.3,gini,6,3,4,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 6, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 4}",,,,,,,,1
0.3000965595245361,0.0027803640473664177,0.0006495475769042969,2.0337873424213016e-05,3,0.3,gini,6,3,5,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 6, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 5}",,,,,,,,1
0.3001890182495117,0.007502180123173606,0.0006459712982177735,2.1486580766619543e-05,3,0.3,gini,6,3,6,"{'smote__k_neighbors': 3, 'smote__sampling_strategy': 0.3, 'tree__criterion': 'gini', 'tree__max_depth': 6, 'tree__min_samples_leaf': 3, 'tree__min_samples_split': 6}",,,,,,,,1
